,,Variables,,,
InjCrv_PoI2Swt,,AccPed_dnMaxRmp_C,,,
InjCrv_PoI2Cor,,AccPed_dtrqDwnLim_MAP,,,
ComRx_HRW,,AccPed_dtrqUpLim_MAP,,,
InjCrv_MI1Cor,,AccPed_nMax_C,,,
ComTx_AMB,,AccPed_nMaxRmp_C,,,
MoFDrDem_Co,,AccPed_nMinBrk_C,,,
InjCrv_PiICor,,AccPed_nMinBrkApp_C,,,
ErrLmp_DD,,AccPed_nMinNoBrk_C,,,
ASDdc_SelectParameter,,AccPed_rBrk50_CUR,,,
TSDa_tClnt,,AccPed_rThresPrp_C,,,
EngDa_PwrEng,,AccPed_rZero_C,,,
DDRC_DemDeb,,AccPed_swtBrkPrio_C,,,
Epm_Spd,,AccPed_swtStpLim_C,,,
CoVMD_TrqDesCoord,,AccPed_tqEngDesBoost_f_MAP,,,
ASMod_IntMnf,,AccPed_tqEngDesECO_f_MAP,,,
MoFFrmCoorrCust_Rx,,AccPed_tqEngDesNrm_f_MAP,,,
MoCCPU_Co,,AccPed_tqEngDesRev_f_MAP,,,
APP_ChkSig,,AccPed_tqEngLeadBoost_f_MAP,,,
RngMod_TrqSpdCrv,,AccPed_tqEngLeadECO_f_MAP,,,
InjCrv_PoI2Set,,AccPed_tqEngLeadNrm_f_MAP,,,
EngReq_SmkLimCalc,,AccPed_trqEngLeadRev_f_MAP,,,
ASMod_Eng,,AccPed_trqLimMax_C,,,
CoEng_StAdpr,,ActMod_swtInjQntCnv_C,,,
rba_OsShell,,ActMod_swtStrtQntEna_C,,,
VehV_DD,,AFS_AirMassDft_I.AFS_dmAirSubsVal_MAP,,,
T50_DD,,AFS_AirMassDft_I.AFS_facAirSubsEnvPCor_CUR,,,
Drvdem_SelectParameter,,AFS_facMdlAirEgrCorrn_MAP,,,
EpmHCrS_IntHndlr,,AFS_facMdlAirEgrCorrnAddl_MAP,,,
Rail_PresPeakLim,,AFS_stSwtAfsPMFlowSeln_C,,,
DcmCore_DslDsd_Appl,,AFS_stSwtMdlAirCorrnAddl_C,,,
CoEOM_SwtTSync,,AFS_stSwtMdlAirEgrCorrn_C,,,
EnvT_VD,,AFS_stSwtMFlowSeln_C,,,
Rail_MonMeUn,,Air_dpGradLimPIntkVUs_C,,,
EpmSpd_PsDiag,,Air_nThdSRCEnaTCACDs_C,,,
PhyMod_GenCur,,Air_nThresMaxPlsPIntkVUs_C,,,
ComTx_PGNRQ,,Air_ParDT1TCACDs.Kd_C,,,
ComTx_CCVS,,Air_ParDT1TCACDs.T1_C,,,
EngDa_TiEngOff,,Air_PhysRngTCACDs.Max_C,,,
DrvPrgSwt_DD,,Air_PhysRngTCACDs.Min_C,,,
Rail_PreCtlPCV,,Air_pMaxDiffLimPlsPIntkVUs_C,,,
ComTx_EFLP1,,Air_pMinDiffLimPlsPIntkVUs_C,,,
InjCrv_PiISet,,Air_RmpSlpPIntkVUs_I.dpNeg_C,,,
APP_Plaus12,,Air_RmpSlpPIntkVUs_I.dpPos_C,,,
MoFFrm_Lib,,Air_RmpSlpTCACDs.Neg_C,,,
SSwtS_SetSwt,,Air_RmpSlpTCACDs.Pos_C,,,
ASMod_Co,,Air_SRCTCACDs.uMax_C,,,
EpmCaS_Seg,,Air_SRCTCACDs.uMin_C,,,
EpmCrS_Diag,,Air_stSnsrAfsTCACDs_C,,,
